NMEA-0183,EngineSpeed(rpm),Deviation(cm),FuelGauge(%)
"$GNGST,032429.50,1.17,1.77,1.28,176.4311,1.769,1.281,3.512*4E$AGRICA,55,GPS,FINE,2373,12287500,0,0,18,30;GNSS,232,25,6,29,3,24,29,1,4,11,17,0,-699.4489,-3582.2969,-68.0923,0.0109,0.0078,0.0217,341.0649,1.9498,0.0000,0.004,-0.001,0.003,-0.002,0.121,0.153,0.127,37.27033920496,126.99072244823,31.9549,-3057721.4596,4059100.7672,3841344.8264,1.7693,1.2806,3.5117,2.2180,2.7558,2.1420,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12287500,0.000,104.081985,23.290197,0.000000,0.000000,0,0,0,0*73dafe42$GNGGA,032429.60,3716.22035218,N,12659.44334676,E,1,28,0.6,31.9542,M,23.2902,M,,*42$GNGST,032429.60,1.17,1.77,1.28,176.3936,1.769,1.281,3.512*45$AGRICA,55,GPS,FINE,2373,12287600,0,0,18,30;GNSS,232,25,6,29,3,24,29,1,4,11,17,0,-699.4491,-3582.2971,-68.0929,0.0109,0.0078,0.0217,341.2599,1.8577,0.0000,0.008,0.001,0.008,-0.002,0.121,0.153,0.127,37.27033920305,126.99072244604,31.9542,-3057721.4593,4059100.7670,3841344.8259,1.7694,1.2806,3.5116,2.2183,2.7554,2.1422,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12287600,0.000,83.772224,23.290197,0.000000,0.000000,0,0,0,0*4553eb69",2500,9.58,100
"$GNGGA,032429.70,3716.22035215,N,12659.44334696,E,1,28,0.6,31.9537,M,23.2902,M,,*42$GNGST,032429.70,1.17,1.77,1.28,176.3770,1.770,1.281,3.512*40$AGRICA,55,GPS,FINE,2373,12287700,0,0,18,30;GNSS,232,25,6,29,3,24,29,1,4,11,17,0,-699.4492,-3582.2969,-68.0934,0.0109,0.0078,0.0217,341.4536,1.9485,0.0000,0.005,0.004,0.002,0.000,0.121,0.153,0.127,37.27033920248,126.99072244929,31.9537,-3057721.4593,4059100.7666,3841344.8255,1.7698,1.2806,3.5116,2.2185,2.7553,2.1424,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12287700,0.000,29.356562,23.290197,0.000000,0.000000,0,0,0,0*921f8d6e",2502,9.23,99.98
"$GNGGA,032429.80,3716.22035229,N,12659.44334679,E,1,28,0.6,31.9534,M,23.2902,M,,*40$GNGST,032429.80,1.17,1.77,1.28,176.3758,1.769,1.280,3.510*4E$AGRICA,55,GPS,FINE,2373,12287800,0,0,18,30;GNSS,232,25,6,29,3,24,29,1,4,11,17,0,-699.4489,-3582.2971,-68.0937,0.0109,0.0078,0.0217,341.3477,2.0079,0.0000,0.004,0.002,0.000,0.003,0.121,0.153,0.127,37.27033920479,126.99072244650,31.9534,-3057721.4588,4059100.7664,3841344.8255,1.7685,1.2801,3.5104,2.2178,2.7537,2.1419,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12287800,0.000,14.205418,23.290197,0.000000,0.000000,0,0,0,0*8d45e97b$GNGGA,032429.90,3716.22035231,N,12659.44334651,E,1,28,0.6,31.9534,M,23.2902,M,,*42",2510,8.94,99.95
"$GNGST,032429.90,1.17,1.77,1.28,176.3581,1.768,1.280,3.511*49$AGRICA,55,GPS,FINE,2373,12287900,0,0,18,30;GNSS,232,25,6,29,3,24,29,1,4,11,17,0,-699.4489,-3582.2976,-68.0938,0.0109,0.0078,0.0217,341.0976,2.1155,0.0000,0.005,0.003,0.005,0.000,0.121,0.153,0.127,37.27033920510,126.99072244188,31.9534,-3057721.4585,4059100.7666,3841344.8255,1.7684,1.2800,3.5106,2.2180,2.7537,2.1419,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12287900,0.000,59.115921,23.290197,0.000000,0.000000,0,0,0,0*6be42527$GNGGA,032430.00,3716.22035237,N,12659.44334651,E,1,28,0.6,31.9530,M,23.2902,M,,*41",2511,8.67,99.93
"$GNGST,032430.00,1.17,1.77,1.28,176.3478,1.769,1.280,3.510*4F$AGRICA,55,GPS,FINE,2373,12288000,0,0,18,40;GNSS,232,25,6,29,3,24,30,1,4,11,17,0,-699.4487,-3582.2976,-68.0941,0.0109,0.0078,0.0217,341.2421,2.1193,0.0000,0.001,0.000,0.001,-0.001,0.121,0.153,0.127,37.27033920620,126.99072244187,31.9530,-3057721.4582,4059100.7663,3841344.8254,1.7689,1.2800,3.5105,2.2179,2.7538,2.1421,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12288000,0.000,63.567329,23.290197,0.000000,0.000000,0,0,0,0*cae1ca22$GNGGA,032430.10,3716.22035230,N,12659.44334625,E,1,28,0.6,31.9525,M,23.2902,M,,*40$GNGST,032430.10,1.17,1.77,1.28,176.3422,1.769,1.280,3.510*41$AGRICA,55,GPS,FINE,2373,12288100,0,0,18,31;GNSS,232,25,6,29,3,24,30,1,4,11,17,0,-699.4489,-3582.2979,-68.0946,0.0109,0.0078,0.0217,341.2273,2.2062,0.0000,0.006,-0.002,-0.001,-0.005,0.121,0.153,0.127,37.27033920506,126.99072243752,31.9525,-3057721.4578,4059100.7663,3841344.8250,1.7693,1.2804,3.5103,2.2179,2.7538,2.1423,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12288100,0.000,214.405075,23.290197,0.000000,0.000000,0,0,0,0*562e43f7",2520,8.34,99.9
"$GNGGA,032430.20,3716.22035210,N,12659.44334585,E,1,28,0.6,31.9516,M,23.2902,M,,*48$GNGST,032430.20,1.17,1.77,1.28,176.3160,1.770,1.280,3.511*48$AGRICA,55,GPS,FINE,2373,12288200,0,0,18,31;GNSS,232,25,6,29,3,24,30,1,4,11,17,0,-699.4492,-3582.2986,-68.0955,0.0109,0.0078,0.0217,341.2114,2.5029,0.0000,0.005,0.000,0.002,-0.004,0.121,0.153,0.127,37.27033920174,126.99072243085,31.9516,-3057721.4570,4059100.7663,3841344.8242,1.7696,1.2805,3.5115,2.2190,2.7543,2.1428,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12288200,0.000,85.802773,23.290197,0.000000,0.000000,0,0,0,0*33165552$GNGGA,032430.30,3716.22035203,N,12659.44334569,E,1,28,0.6,31.9509,M,23.2902,M,,*47$GNGST,032430.30,1.17,1.77,1.28,176.2798,1.770,1.280,3.512*4A$AGRICA,55,GPS,FINE,2373,12288300,0,0,18,31;GNSS,232,25,6,29,3,24,30,1,4,11,17,0,-699.4493,-3582.2988,-68.0962,0.0109,0.0078,0.0217,341.2509,2.2557,0.0000,0.005,-0.001,0.001,-0.004,0.121,0.153,0.127,37.27033920047,126.99072242820,31.9509,-3057721.4565,4059100.7660,3841344.8236,1.7699,1.2803,3.5116,2.2192,2.7543,2.1430,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12288300,0.000,137.447830,23.290197,0.000000,0.000000,0,0,0,0*7449d90c",2529,7.85,99.88
"$GNGGA,032430.40,3716.22035190,N,12659.44334544,E,1,28,0.6,31.9502,M,23.2902,M,,*4D$GNGST,032430.40,1.17,1.77,1.28,176.2886,1.770,1.281,3.512*4C$AGRICA,55,GPS,FINE,2373,12288400,0,0,18,30;GNSS,232,25,6,29,3,24,30,1,4,11,17,0,-699.4496,-3582.2991,-68.0970,0.0109,0.0078,0.0217,341.2306,2.6022,0.0000,0.006,0.000,0.001,-0.005,0.121,0.153,0.127,37.27033919834,126.99072242405,31.9502,-3057721.4560,4059100.7659,3841344.8230,1.7699,1.2805,3.5119,2.2193,2.7545,2.1431,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12288400,0.000,88.607712,23.290197,0.000000,0.000000,0,0,0,0*16c8fef0$GNGGA,032430.50,3716.22035181,N,12659.44334523,E,1,28,0.6,31.9493,M,23.2902,M,,*44$GNGST,032430.50,1.17,1.77,1.28,176.2696,1.770,1.281,3.512*42$AGRICA,55,GPS,FINE,2373,12288500,0,0,18,30;GNSS,232,25,6,29,3,24,30,1,4,11,17,0,-699.4498,-3582.2993,-68.0978,0.0109,0.0078,0.0217,341.1208,2.3169,0.0000,0.003,-0.001,0.003,-0.002,0.121,0.153,0.127,37.27033919685,126.99072242042,31.9493,-3057721.4554,4059100.7656,3841344.8224,1.7701,1.2807,3.5120,2.2196,2.7544,2.1434,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12288500,0.000,110.344307,23.290197,0.000000,0.000000,0,0,0,0*1606cc06",2533,7.4,99.85
"$GNGGA,032430.60,3716.22035167,N,12659.44334511,E,1,28,0.6,31.9489,M,23.2902,M,,*45$GNGST,032430.60,1.17,1.77,1.28,176.2662,1.770,1.281,3.513*4B$AGRICA,55,GPS,FINE,2373,12288600,0,0,18,30;GNSS,232,25,6,29,3,24,30,1,4,11,17,0,-699.4500,-3582.2996,-68.0982,0.0109,0.0078,0.0217,341.2358,2.0186,0.0000,0.006,0.000,0.005,0.003,0.121,0.153,0.127,37.27033919456,126.99072241845,31.9489,-3057721.4551,4059100.7656,3841344.8219,1.7704,1.2806,3.5125,2.2199,2.7550,2.1434,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12288600,0.000,84.812355,23.290197,0.000000,0.000000,0,0,0,0*df6fdaf9$GNGGA,032430.70,3716.22035160,N,12659.44334517,E,1,28,0.6,31.9490,M,23.2902,M,,*4D",2540,7.07,99.83
"$GNGST,032430.70,1.17,1.77,1.28,176.2621,1.770,1.281,3.512*4C$AGRICA,55,GPS,FINE,2373,12288700,0,0,18,30;GNSS,232,25,6,29,3,24,30,1,4,11,17,0,-699.4501,-3582.2996,-68.0981,0.0109,0.0078,0.0217,341.3195,2.0758,0.0000,0.008,-0.003,0.002,0.008,0.121,0.153,0.127,37.27033919342,126.99072241952,31.9490,-3057721.4553,4059100.7657,3841344.8219,1.7702,1.2809,3.5121,2.2197,2.7546,2.1434,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12288700,0.000,151.527985,23.290197,0.000000,0.000000,0,0,0,0*5ae9b08c$GNGGA,032430.80,3716.22035136,N,12659.44334498,E,1,28,0.6,31.9496,M,23.2902,M,,*41$GNGST,032430.80,1.17,1.77,1.28,176.2344,1.770,1.281,3.512*45$AGRICA,55,GPS,FINE,2373,12288800,0,0,18,30;GNSS,232,25,6,29,3,24,30,1,4,11,17,0,-699.4506,-3582.2998,-68.0975,0.0109,0.0078,0.0217,341.2966,1.9938,0.0000,0.005,-0.004,0.001,0.003,0.121,0.153,0.127,37.27033918927,126.99072241631,31.9496,-3057721.4555,4059100.7665,3841344.8219,1.7703,1.2808,3.5120,2.2198,2.7542,2.1436,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12288800,0.000,160.642044,23.290197,0.000000,0.000000,0,0,0,0*be8ff1cd",2548,6.86,99.81
"$GNGGA,032430.90,3716.22035105,N,12659.44334479,E,1,28,0.6,31.9496,M,23.2902,M,,*4F$GNGST,032430.90,1.17,1.77,1.28,176.2122,1.771,1.281,3.512*47$AGRICA,55,GPS,FINE,2373,12288900,0,0,18,30;GNSS,232,25,6,29,3,24,30,1,4,11,17,0,-699.4512,-3582.3000,-68.0975,0.0109,0.0078,0.0217,341.0409,2.0640,0.0000,0.009,-0.003,0.002,-0.008,0.121,0.153,0.127,37.27033918420,126.99072241310,31.9496,-3057721.4555,4059100.7669,3841344.8214,1.7705,1.2807,3.5121,2.2200,2.7542,2.1439,37.27664835970,127.03111078942,122.2941,0.00000000000,0.00000000000,0.0000,12288900,0.000,137.634155,23.290197,0.000000,0.000000,0,0,0,0*b2204469$GNGGA,032431.00,3716.22035082,N,12659.44334467,E,1,28,0.6,31.9486,M,23.2902,M,,*47",2557,6.5,99.78
